dms_orig,dms_dest,sctg2,dms_mode,thousand tons in 2017,thousand tons in 2018,thousand tons in 2019,thousand tons in 2020,thousand tons in 2021,thousand tons in 2022,thousand tons in 2023,thousand tons in 2024,thousand tons in 2030,thousand tons in 2030_low,thousand tons in 2030_high,thousand tons in 2035,thousand tons in 2035_low,thousand tons in 2035_high,thousand tons in 2040,thousand tons in 2040_low,thousand tons in 2040_high,thousand tons in 2045,thousand tons in 2045_low,thousand tons in 2045_high,thousand tons in 2050,thousand tons in 2050_low,thousand tons in 2050_high
011-Birmingham AL,13-Georgia,21-Pharmaceuticals,5-Multiple modes & mail,0.0078,0.0074,0.0076,0.0078,0.0082,0.009,0.0093,0.01,0.013,0.0127,0.0143,0.0152,0.0144,0.0155,0.0179,0.0162,0.0182,0.021,0.0183,0.0214,0.0244,0.0206,0.0249
011-Birmingham AL,16-Idaho,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
011-Birmingham AL,17-Illinois,21-Pharmaceuticals,4-Air (include truck-air),0.0071,0.0067,0.0068,0.007,0.0074,0.0081,0.0084,0.009,0.0105,0.0103,0.0116,0.0128,0.0121,0.013,0.0155,0.0143,0.0159,0.0189,0.0169,0.0193,0.023,0.0199,0.0234
011-Birmingham AL,17-Illinois,21-Pharmaceuticals,5-Multiple modes & mail,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0005,0.0006,0.0007,0.0006,0.0007
011-Birmingham AL,18-Indiana,21-Pharmaceuticals,1-Truck,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0005,0.0004,0.0005,0.0006,0.0005,0.0006,0.0007,0.0006,0.0007
011-Birmingham AL,18-Indiana,21-Pharmaceuticals,5-Multiple modes & mail,0.0049,0.0046,0.0047,0.0049,0.0051,0.0056,0.0058,0.0062,0.0089,0.0087,0.0098,0.0104,0.01,0.0106,0.0122,0.0114,0.0124,0.0143,0.013,0.0146,0.0166,0.0148,0.0169
011-Birmingham AL,19-Iowa,21-Pharmaceuticals,4-Air (include truck-air),0.002,0.0019,0.002,0.002,0.0021,0.0023,0.0024,0.0026,0.003,0.003,0.0033,0.0036,0.0035,0.0037,0.0044,0.0042,0.0045,0.0054,0.005,0.0055,0.0065,0.006,0.0067
011-Birmingham AL,19-Iowa,21-Pharmaceuticals,5-Multiple modes & mail,0.0501,0.0476,0.0487,0.0499,0.0526,0.0573,0.0595,0.0638,0.0733,0.073,0.0806,0.0891,0.0857,0.0909,0.1084,0.1029,0.1106,0.1318,0.1235,0.1344,0.1603,0.1482,0.1635
011-Birmingham AL,20-Kansas,21-Pharmaceuticals,5-Multiple modes & mail,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0007,0.0007,0.0007,0.0009,0.0008,0.0009
011-Birmingham AL,21-Kentucky,21-Pharmaceuticals,1-Truck,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004
011-Birmingham AL,21-Kentucky,21-Pharmaceuticals,4-Air (include truck-air),0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004,0.0004,0.0004,0.0004,0.0005,0.0004,0.0005
011-Birmingham AL,21-Kentucky,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004,0.0004,0.0004,0.0004
011-Birmingham AL,22-Louisiana,21-Pharmaceuticals,1-Truck,0.1842,0.1749,0.1789,0.1835,0.1934,0.2105,0.2188,0.2343,0.3177,0.3092,0.3495,0.3669,0.3475,0.3742,0.4227,0.3893,0.4312,0.4875,0.4373,0.4973,0.5543,0.4838,0.5654
011-Birmingham AL,22-Louisiana,21-Pharmaceuticals,5-Multiple modes & mail,0.0338,0.0321,0.0328,0.0336,0.0355,0.0386,0.0401,0.043,0.0583,0.0567,0.0641,0.0673,0.0638,0.0687,0.0776,0.0715,0.0792,0.0895,0.0803,0.0913,0.1018,0.0889,0.1038
011-Birmingham AL,23-Maine,21-Pharmaceuticals,5-Multiple modes & mail,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002
011-Birmingham AL,24-Maryland,21-Pharmaceuticals,1-Truck,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0005,0.0004,0.0005,0.0006,0.0005,0.0006,0.0007,0.0006,0.0007
011-Birmingham AL,24-Maryland,21-Pharmaceuticals,4-Air (include truck-air),0.0052,0.005,0.0051,0.0052,0.0055,0.006,0.0062,0.0066,0.0077,0.0076,0.0085,0.0094,0.0088,0.0096,0.0115,0.0103,0.0117,0.0139,0.012,0.0142,0.0169,0.0139,0.0173
011-Birmingham AL,24-Maryland,21-Pharmaceuticals,5-Multiple modes & mail,0.0102,0.0097,0.0099,0.0102,0.0107,0.0117,0.0122,0.013,0.0152,0.0148,0.0167,0.0185,0.0173,0.0188,0.0224,0.0201,0.0229,0.0273,0.0234,0.0278,0.0332,0.0273,0.0339
011-Birmingham AL,25-Massachusetts,21-Pharmaceuticals,4-Air (include truck-air),0.0102,0.0097,0.0099,0.0102,0.0107,0.0117,0.0121,0.013,0.0152,0.0151,0.0167,0.0185,0.018,0.0189,0.0225,0.0215,0.023,0.0274,0.0255,0.0279,0.0333,0.0304,0.0339
011-Birmingham AL,25-Massachusetts,21-Pharmaceuticals,5-Multiple modes & mail,0.0059,0.0056,0.0058,0.0059,0.0062,0.0068,0.007,0.0075,0.0104,0.0103,0.0115,0.0124,0.0121,0.0126,0.0146,0.014,0.0149,0.0173,0.0162,0.0177,0.0203,0.0187,0.0207
011-Birmingham AL,26-Michigan,21-Pharmaceuticals,4-Air (include truck-air),0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0007,0.0006,0.0007,0.0008,0.0007,0.0008,0.001,0.0008,0.001
011-Birmingham AL,26-Michigan,21-Pharmaceuticals,5-Multiple modes & mail,0.0011,0.0011,0.0011,0.0011,0.0012,0.0013,0.0014,0.0015,0.0017,0.0017,0.0019,0.0021,0.002,0.0021,0.0025,0.0023,0.0026,0.003,0.0027,0.0031,0.0037,0.0031,0.0038
011-Birmingham AL,27-Minnesota,21-Pharmaceuticals,4-Air (include truck-air),0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0005,0.0004,0.0005,0.0006,0.0005,0.0006,0.0007,0.0006,0.0007
011-Birmingham AL,27-Minnesota,21-Pharmaceuticals,5-Multiple modes & mail,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006
011-Birmingham AL,28-Mississippi,21-Pharmaceuticals,1-Truck,1.0008,0.9501,0.9719,0.997,1.0508,1.1434,1.1884,1.273,1.8512,1.8438,2.0364,2.1554,2.1339,2.1985,2.5051,2.481,2.5552,2.9156,2.8599,2.974,3.3451,3.2513,3.412
011-Birmingham AL,28-Mississippi,21-Pharmaceuticals,5-Multiple modes & mail,1.9149,1.8179,1.8596,1.9077,2.0106,2.1878,2.2739,2.4357,3.5421,3.5279,3.8963,4.1241,4.0829,4.2066,4.7932,4.747,4.8891,5.5787,5.4721,5.6902,6.4004,6.2209,6.5284
011-Birmingham AL,29-Missouri,21-Pharmaceuticals,1-Truck,0.011,0.0104,0.0107,0.0109,0.0115,0.0126,0.013,0.014,0.0162,0.0158,0.0178,0.0196,0.0185,0.02,0.0239,0.0217,0.0244,0.0291,0.0255,0.0296,0.0353,0.0298,0.036
011-Birmingham AL,29-Missouri,21-Pharmaceuticals,5-Multiple modes & mail,0.0006,0.0006,0.0006,0.0006,0.0006,0.0007,0.0007,0.0008,0.0009,0.0009,0.001,0.0011,0.0011,0.0012,0.0014,0.0012,0.0014,0.0017,0.0015,0.0017,0.002,0.0017,0.0021
011-Birmingham AL,30-Montana,21-Pharmaceuticals,5-Multiple modes & mail,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0005,0.0005,0.0006,0.0006,0.0006,0.0006,0.0007,0.0007,0.0007,0.0008,0.0008,0.0008,0.001,0.0009,0.001
011-Birmingham AL,32-Nevada,21-Pharmaceuticals,5-Multiple modes & mail,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
011-Birmingham AL,33-New Hampshire,21-Pharmaceuticals,4-Air (include truck-air),0.0047,0.0044,0.0045,0.0047,0.0049,0.0053,0.0055,0.0059,0.0091,0.0091,0.01,0.0104,0.0102,0.0106,0.0121,0.0117,0.0123,0.0135,0.0129,0.0138,0.0161,0.0152,0.0164
011-Birmingham AL,33-New Hampshire,21-Pharmaceuticals,5-Multiple modes & mail,0.0522,0.0495,0.0506,0.052,0.0548,0.0596,0.0619,0.0663,0.102,0.102,0.1122,0.1165,0.1143,0.1189,0.1353,0.1308,0.138,0.1513,0.1445,0.1544,0.1801,0.1697,0.1837
011-Birmingham AL,34-New Jersey,21-Pharmaceuticals,1-Truck,0.0547,0.052,0.0532,0.0545,0.0575,0.0625,0.065,0.0696,0.083,0.0808,0.0913,0.1009,0.0943,0.103,0.1228,0.1097,0.1252,0.1493,0.1278,0.1523,0.1815,0.1487,0.1852
011-Birmingham AL,34-New Jersey,21-Pharmaceuticals,4-Air (include truck-air),0.0101,0.0096,0.0098,0.01,0.0106,0.0115,0.012,0.0128,0.0151,0.0147,0.0166,0.0184,0.0172,0.0187,0.0223,0.02,0.0228,0.0272,0.0233,0.0277,0.033,0.0271,0.0337
011-Birmingham AL,34-New Jersey,21-Pharmaceuticals,5-Multiple modes & mail,0.0522,0.0496,0.0507,0.052,0.0548,0.0597,0.062,0.0664,0.0782,0.0762,0.086,0.0951,0.0889,0.097,0.1157,0.1035,0.118,0.1407,0.1206,0.1435,0.1711,0.1404,0.1745
011-Birmingham AL,35-New Mexico,21-Pharmaceuticals,4-Air (include truck-air),0.0032,0.003,0.0031,0.0032,0.0034,0.0037,0.0038,0.0041,0.0047,0.0047,0.0052,0.0057,0.0056,0.0058,0.0069,0.0069,0.0071,0.0084,0.0083,0.0086,0.0102,0.0099,0.0105
011-Birmingham AL,35-New Mexico,21-Pharmaceuticals,5-Multiple modes & mail,0.0016,0.0015,0.0015,0.0016,0.0017,0.0018,0.0019,0.002,0.0023,0.0023,0.0025,0.0028,0.0028,0.0029,0.0034,0.0034,0.0035,0.0042,0.0041,0.0043,0.0051,0.0049,0.0052
011-Birmingham AL,36-New York,21-Pharmaceuticals,1-Truck,0.043,0.0408,0.0417,0.0428,0.0451,0.0491,0.051,0.0546,0.0643,0.0628,0.0707,0.0781,0.074,0.0797,0.095,0.0869,0.0969,0.1156,0.1023,0.1179,0.1405,0.1205,0.1433
011-Birmingham AL,36-New York,21-Pharmaceuticals,4-Air (include truck-air),0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0002,0.0002,0.0002
011-Birmingham AL,36-New York,21-Pharmaceuticals,5-Multiple modes & mail,0.0081,0.0077,0.0079,0.0081,0.0085,0.0092,0.0096,0.0103,0.0121,0.0119,0.0134,0.0148,0.014,0.0151,0.0179,0.0164,0.0183,0.0218,0.0194,0.0222,0.0265,0.0228,0.027
011-Birmingham AL,37-North Carolina,21-Pharmaceuticals,1-Truck,0.0094,0.009,0.0092,0.0094,0.0099,0.0108,0.0112,0.012,0.0143,0.0139,0.0157,0.0173,0.0163,0.0177,0.0211,0.0192,0.0215,0.0257,0.0226,0.0262,0.0312,0.0266,0.0318
011-Birmingham AL,37-North Carolina,21-Pharmaceuticals,4-Air (include truck-air),0.0011,0.001,0.001,0.0011,0.0011,0.0012,0.0013,0.0014,0.0016,0.0016,0.0018,0.002,0.0018,0.002,0.0024,0.0022,0.0024,0.0029,0.0026,0.0029,0.0035,0.003,0.0036
011-Birmingham AL,37-North Carolina,21-Pharmaceuticals,5-Multiple modes & mail,0.0017,0.0016,0.0017,0.0017,0.0018,0.002,0.002,0.0022,0.0026,0.0026,0.0029,0.0032,0.003,0.0032,0.0039,0.0035,0.0039,0.0047,0.0041,0.0048,0.0057,0.0049,0.0058
011-Birmingham AL,39-Ohio,21-Pharmaceuticals,1-Truck,0.1178,0.1118,0.1144,0.1173,0.1236,0.1345,0.1398,0.1498,0.2096,0.2059,0.2306,0.2471,0.2362,0.252,0.2908,0.2696,0.2966,0.3426,0.3084,0.3494,0.3987,0.3488,0.4066
011-Birmingham AL,39-Ohio,21-Pharmaceuticals,4-Air (include truck-air),0.0027,0.0026,0.0027,0.0027,0.0029,0.0031,0.0032,0.0035,0.0048,0.0047,0.0053,0.0057,0.0054,0.0058,0.0067,0.0061,0.0068,0.0078,0.007,0.008,0.0091,0.0078,0.0093
011-Birmingham AL,39-Ohio,21-Pharmaceuticals,5-Multiple modes & mail,0.0128,0.0122,0.0124,0.0128,0.0135,0.0146,0.0152,0.0163,0.0231,0.0227,0.0254,0.0272,0.026,0.0277,0.032,0.0297,0.0326,0.0376,0.034,0.0384,0.0438,0.0385,0.0447
011-Birmingham AL,40-Oklahoma,21-Pharmaceuticals,5-Multiple modes & mail,0.0007,0.0006,0.0007,0.0007,0.0007,0.0008,0.0008,0.0009,0.001,0.001,0.0011,0.0012,0.0012,0.0013,0.0015,0.0014,0.0015,0.0018,0.0017,0.0018,0.0022,0.0021,0.0022
011-Birmingham AL,41-Oregon,21-Pharmaceuticals,4-Air (include truck-air),0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0007,0.0006,0.0007
011-Birmingham AL,41-Oregon,21-Pharmaceuticals,5-Multiple modes & mail,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0007,0.0007,0.0007
011-Birmingham AL,42-Pennsylvania,21-Pharmaceuticals,1-Truck,0.0593,0.0563,0.0575,0.059,0.0622,0.0677,0.0704,0.0754,0.0989,0.0968,0.1088,0.1188,0.1136,0.1212,0.1426,0.1315,0.1454,0.1711,0.1525,0.1745,0.2044,0.1758,0.2084
011-Birmingham AL,42-Pennsylvania,21-Pharmaceuticals,4-Air (include truck-air),0.0075,0.0071,0.0073,0.0074,0.0078,0.0085,0.0089,0.0095,0.0132,0.013,0.0145,0.0154,0.0149,0.0157,0.0179,0.0168,0.0183,0.0209,0.019,0.0213,0.0241,0.0212,0.0246
011-Birmingham AL,42-Pennsylvania,21-Pharmaceuticals,5-Multiple modes & mail,0.0128,0.0121,0.0124,0.0127,0.0134,0.0146,0.0152,0.0162,0.0219,0.0214,0.024,0.026,0.025,0.0265,0.0309,0.0287,0.0315,0.0368,0.033,0.0375,0.0435,0.0376,0.0443
011-Birmingham AL,44-Rhode Island,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003
011-Birmingham AL,45-South Carolina,21-Pharmaceuticals,1-Truck,0.0251,0.0238,0.0243,0.025,0.0263,0.0286,0.0298,0.0319,0.0465,0.0451,0.0511,0.0552,0.0511,0.0563,0.0654,0.0577,0.0667,0.0776,0.0652,0.0791,0.0906,0.0727,0.0925
011-Birmingham AL,45-South Carolina,21-Pharmaceuticals,5-Multiple modes & mail,0.0033,0.0032,0.0032,0.0033,0.0035,0.0038,0.004,0.0042,0.0061,0.0059,0.0067,0.0073,0.0068,0.0074,0.0086,0.0076,0.0088,0.0103,0.0086,0.0105,0.012,0.0096,0.0123
011-Birmingham AL,47-Tennessee,21-Pharmaceuticals,1-Truck,1.3545,1.2859,1.3154,1.3494,1.4222,1.5476,1.6084,1.7229,2.5845,2.5176,2.843,3.0007,2.812,3.0607,3.4651,3.1098,3.5344,4.0044,3.4508,4.0845,4.558,3.779,4.6491
011-Birmingham AL,47-Tennessee,21-Pharmaceuticals,5-Multiple modes & mail,4.8591,4.6129,4.7188,4.8407,5.1018,5.5515,5.7699,6.1806,8.9462,8.7256,9.8408,10.4323,9.821,10.6409,12.1218,10.9621,12.3642,14.0935,12.2762,14.3753,16.176,13.599,16.4995
011-Birmingham AL,48-Texas,21-Pharmaceuticals,1-Truck,0.1008,0.0957,0.0979,0.1004,0.1059,0.1152,0.1197,0.1282,0.1669,0.1608,0.1836,0.1978,0.1861,0.2018,0.2342,0.2145,0.2389,0.2775,0.2475,0.2831,0.3261,0.2818,0.3327
011-Birmingham AL,48-Texas,21-Pharmaceuticals,4-Air (include truck-air),0.0007,0.0006,0.0007,0.0007,0.0007,0.0008,0.0008,0.0009,0.0011,0.0011,0.0012,0.0013,0.0012,0.0013,0.0016,0.0014,0.0016,0.0019,0.0017,0.0019,0.0022,0.0019,0.0022
011-Birmingham AL,48-Texas,21-Pharmaceuticals,5-Multiple modes & mail,0.2798,0.2656,0.2717,0.2788,0.2938,0.3197,0.3323,0.3559,0.4077,0.3964,0.4485,0.4957,0.4676,0.5056,0.6026,0.5519,0.6146,0.7325,0.6525,0.7472,0.8905,0.7697,0.9083
011-Birmingham AL,49-Utah,21-Pharmaceuticals,1-Truck,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004
011-Birmingham AL,49-Utah,21-Pharmaceuticals,4-Air (include truck-air),0.0007,0.0007,0.0007,0.0007,0.0007,0.0008,0.0008,0.0009,0.001,0.001,0.0011,0.0012,0.0012,0.0012,0.0015,0.0014,0.0015,0.0018,0.0017,0.0018,0.0022,0.002,0.0022
011-Birmingham AL,49-Utah,21-Pharmaceuticals,5-Multiple modes & mail,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
011-Birmingham AL,50-Vermont,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003
011-Birmingham AL,51-Virginia,21-Pharmaceuticals,1-Truck,0.0112,0.0106,0.0109,0.0112,0.0118,0.0128,0.0133,0.0143,0.0185,0.018,0.0203,0.0209,0.0194,0.0214,0.0237,0.021,0.0242,0.0268,0.0228,0.0274,0.03,0.0243,0.0306
011-Birmingham AL,51-Virginia,21-Pharmaceuticals,4-Air (include truck-air),0.0076,0.0073,0.0074,0.0076,0.008,0.0087,0.0091,0.0097,0.0126,0.0123,0.0139,0.0143,0.0132,0.0146,0.0162,0.0143,0.0165,0.0183,0.0156,0.0187,0.0205,0.0166,0.0209
011-Birmingham AL,51-Virginia,21-Pharmaceuticals,5-Multiple modes & mail,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0005,0.0005,0.0005,0.0006,0.0005,0.0006,0.0007,0.0006,0.0007,0.0008,0.0007,0.0008,0.0009,0.0007,0.0009
