State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
"Virgin Islands",14179,,,,2016,12,2014,2,
Utah,308680,,,,2016,12,2014,2,
Indiana,1069100,,,,2016,12,2014,1,
Ohio,2460832,108346,101991,6355,2016,12,2014,1,
"N. Mariana Islands",17000,,,,2016,12,2014,3,
Missouri,779920,,,,2016,12,2014,2,
Texas,3900610,,,,2016,12,2014,1,
"South Dakota",107575,,,,2016,12,2014,3,
"West Virginia",471285,103662,103662,0,2016,12,2014,3,
Florida,3739985,,,,2016,12,2014,1,
"New Hampshire",134728,,,,2016,12,2014,2,
Pennsylvania,2068064,,,,2016,12,2014,2,
"New York",2107253,817931,43128,774803,2016,12,2014,2,
Ohio,2609422,251610,236853,14757,2016,12,2014,3,
"Rhode Island",224402,21601,21601,0,2016,12,2014,1,
"New Mexico",616808,86173,86173,0,2016,12,2014,1,
Alabama,1014931,,,,2016,12,2014,3,
Hawaii,289192,72940,45869,27071,2016,12,2014,3,
Delaware,196362,49144,3032,46112,2016,12,2014,2,
Virginia,887379,,,,2016,12,2014,3,
Connecticut,697756,115860,115860,0,2016,12,2014,2,
Florida,3761941,,,,2016,12,2014,2,
Kentucky,950515,161540,161540,0,2016,12,2014,1,
Washington,1545269,371397,353600,17797,2016,12,2014,3,
Washington,1419916,247048,229626,17422,2016,12,2014,1,
Iowa,523281,83880,81121,2759,2016,12,2014,3,
Massachusetts,1712146,289543,0,289543,2016,12,2014,2,
Michigan,1832594,,,,2016,12,2014,3,
Tennessee,1350347,,,,2016,12,2014,2,
Pennsylvania,2063775,,,,2016,12,2014,1,
Colorado,976972,211389,210013,1376,2016,12,2014,3,
"Virgin Islands",14067,,,,2016,12,2014,1,
Tennessee,1337148,,,,2016,12,2014,1,
Florida,3828560,,,,2016,12,2014,3,
Totals,63871201,5642948,3653855,1989093,2016,12,2014,1,
Arizona,1480543,216415,25225,191190,2016,12,2014,3,
Maine,300029,,,,2016,12,2014,2,
California,13052635,1099373,1099373,0,2016,12,2014,1,
Louisiana,1243095,,,,2016,12,2014,3,
Wyoming,67369,,,,2016,12,2014,1,
Massachusetts,1643200,287610,0,287610,2016,12,2014,1,
"West Virginia",455311,91775,91775,0,2016,12,2014,2,
Oregon,966688,424685,340639,84046,2016,12,2014,3,
"New Hampshire",132034,,,,2016,12,2014,1,
Wyoming,67675,,,,2016,12,2014,2,
"District of Columbia",224559,45901,45901,0,2016,12,2014,1,
"American Samoa",36726,,,,2016,12,2014,1,
"Virgin Islands",13780,,,,2016,12,2014,3,
Minnesota,944960,131218,130780,438,2016,12,2014,1,
Guam,37123,3247,,3247,2016,12,2014,2,
Pennsylvania,2094487,,,,2016,12,2014,3,
Hawaii,281175,68978,44704,24274,2016,12,2014,2,
Louisiana,1247911,,,,2016,12,2014,2,
"New Mexico",635809,102914,102914,0,2016,12,2014,2,
Arkansas,863204,202906,179770,23136,2016,12,2014,1,
Maryland,1023255,129209,129209,0,2016,12,2014,1,
"N. Mariana Islands",17000,,,,2016,12,2014,2,
Oregon,960042,421897,337861,84036,2016,12,2014,2,
Texas,3974592,,,,2016,12,2014,3,
Texas,3909233,,,,2016,12,2014,2,
Iowa,509705,72215,70440,1775,2016,12,2014,2,
Kansas,363360,,,,2016,12,2014,3,
Mississippi,651448,,,,2016,12,2014,2,
Indiana,1082404,,,,2016,12,2014,3,
Maine,298463,,,,2016,12,2014,3,
Nebraska,234004,,,,2016,12,2014,1,
Colorado,923526,176881,175576,1305,2016,12,2014,2,
Delaware,197679,53063,4356,48707,2016,12,2014,3,
"South Carolina",1025519,,,,2016,12,2014,1,
Minnesota,986434,149596,148776,820,2016,12,2014,3,
"North Dakota",77402,7309,7217,92,2016,12,2014,2,
Vermont,191228,43953,0,43953,2016,12,2014,3,
Mississippi,662433,,,,2016,12,2014,3,
Arizona,1422774,152509,17428,135081,2016,12,2014,1,
Washington,1465041,291726,274316,17410,2016,12,2014,2,
Connecticut,699811,111020,111020,0,2016,12,2014,1,
Connecticut,693075,127676,127676,0,2016,12,2014,3,
Montana,148222,,,,2016,12,2014,2,
Nevada,349578,28414,28414,0,2016,12,2014,1,
"New Jersey",1404976,346066,346066,0,2016,12,2014,2,
Missouri,790140,,,,2016,12,2014,1,
"North Dakota",81305,9503,9383,120,2016,12,2014,3,
Guam,37262,3292,,3292,2016,12,2014,1,
Nebraska,237280,,,,2016,12,2014,3,
Delaware,195087,46898,2210,44688,2016,12,2014,1,
Idaho,273953,,,,2016,12,2014,2,
Guam,36886,2882,,2882,2016,12,2014,3,
"New Jersey",1380965,326395,326395,0,2016,12,2014,1,
Georgia,1632843,,,,2016,12,2014,2,
"Puerto Rico",1314126,565484,,565484,2016,12,2014,2,
"American Samoa",36726,,,,2016,12,2014,2,
Kansas,354821,,,,2016,12,2014,1,
Oregon,955483,418297,333600,84697,2016,12,2014,1,
Massachusetts,1740078,296565,0,296565,2016,12,2014,3,
Virginia,870729,,,,2016,12,2014,1,
"American Samoa",36726,,,,2016,12,2014,3,
Oklahoma,765059,,,,2016,12,2014,3,
"West Virginia",440852,81776,81776,0,2016,12,2014,1,
"North Carolina",1801573,,,,2016,12,2014,1,
Totals,64764723,6261273,4214218,2047055,2016,12,2014,2,
"New Hampshire",136663,,,,2016,12,2014,3,
"District of Columbia",226959,46927,46927,0,2016,12,2014,2,
"South Dakota",106315,,,,2016,12,2014,2,
Wisconsin,1172629,,,,2016,12,2014,3,
Georgia,1612339,,,,2016,12,2014,1,
"New York",2165758,876019,70141,805878,2016,12,2014,3,
Montana,149587,,,,2016,12,2014,3,
"Puerto Rico",1303363,562167,0,562167,2016,12,2014,1,
Hawaii,275994,64951,44100,20851,2016,12,2014,1,
"North Dakota",74837,5923,5847,76,2016,12,2014,1,
Nevada,372835,43977,43977,0,2016,12,2014,2,
Mississippi,646080,,,,2016,12,2014,1,
Arkansas,865866,212502,187838,24664,2016,12,2014,3,
California,13734865,1683216,1683216,0,2016,12,2014,3,
"North Carolina",1814589,,,,2016,12,2014,2,
Arizona,1449815,187128,22150,164978,2016,12,2014,2,
Louisiana,1252778,,,,2016,12,2014,1,
"New Mexico",649389,115231,115231,0,2016,12,2014,3,
"N. Mariana Islands",17000,,,,2016,12,2014,1,
"District of Columbia",231920,49231,49231,0,2016,12,2014,3,
Kansas,358928,,,,2016,12,2014,2,
Maryland,1045266,139813,139813,0,2016,12,2014,2,
Wisconsin,1170555,,,,2016,12,2014,2,
Vermont,187312,39516,0,39516,2016,12,2014,2,
Utah,296528,,,,2016,12,2014,3,
Indiana,1079672,,,,2016,12,2014,2,
Minnesota,959618,137104,136506,598,2016,12,2014,2,
