Target,ATC2 Class,Period,Model,Actual,Forecast,Error,MAE
Number of Prescriptions,A05,2024Q1,Naive,643.0,636.0,7.0,59.25
Number of Prescriptions,A05,2024Q1,Seasonal Naive,643.0,746.0,103.0,119.0
Number of Prescriptions,A05,2024Q1,AutoARIMA,643.0,636.0,7.0,59.25
Number of Prescriptions,A05,2024Q1,SARIMA,643.0,636.0,7.0,59.25
Number of Prescriptions,A05,2024Q2,Historical Mean,616.0,545.25,70.75,63.625
Number of Prescriptions,A05,2024Q2,Naive,616.0,636.0,20.0,59.25
Number of Prescriptions,A05,2024Q2,Seasonal Naive,616.0,717.0,101.0,119.0
Number of Prescriptions,A05,2024Q2,AutoARIMA,616.0,636.0,20.0,59.25
Number of Prescriptions,A05,2024Q2,SARIMA,616.0,636.0,20.0,59.25
Number of Prescriptions,A05,2024Q3,Historical Mean,574.0,545.25,28.75,63.625
Number of Prescriptions,A05,2024Q3,Naive,574.0,636.0,62.0,59.25
Number of Prescriptions,A05,2024Q3,Seasonal Naive,574.0,698.0,124.0,119.0
Number of Prescriptions,A05,2024Q3,AutoARIMA,574.0,636.0,62.0,59.25
Number of Prescriptions,A05,2024Q3,SARIMA,574.0,636.0,62.0,59.25
Number of Prescriptions,A05,2024Q4,Historical Mean,488.0,545.25,57.25,63.625
Number of Prescriptions,A05,2024Q4,Naive,488.0,636.0,148.0,59.25
Number of Prescriptions,A05,2024Q4,Seasonal Naive,488.0,636.0,148.0,119.0
Number of Prescriptions,A05,2024Q4,AutoARIMA,488.0,636.0,148.0,59.25
Number of Prescriptions,A05,2024Q4,SARIMA,488.0,636.0,148.0,59.25
Number of Prescriptions,A06,2024Q1,Historical Mean,173708.0,85229.03571428571,88478.96428571429,51199.46428571429
Number of Prescriptions,A06,2024Q1,Naive,173708.0,101634.0,72074.0,34794.5
Number of Prescriptions,A06,2024Q1,Seasonal Naive,173708.0,120938.0,52770.0,28950.75
Number of Prescriptions,A06,2024Q1,AutoARIMA,173708.0,105145.2421875,68562.7578125,31283.2578125
Number of Prescriptions,A06,2024Q1,SARIMA,173708.0,105145.2421875,68562.7578125,31283.2578125
Number of Prescriptions,A06,2024Q2,Historical Mean,124677.0,85229.03571428571,39447.96428571429,51199.46428571429
Number of Prescriptions,A06,2024Q2,Naive,124677.0,101634.0,23043.0,34794.5
Number of Prescriptions,A06,2024Q2,Seasonal Naive,124677.0,105154.0,19523.0,28950.75
Number of Prescriptions,A06,2024Q2,AutoARIMA,124677.0,105145.2421875,19531.7578125,31283.2578125
Number of Prescriptions,A06,2024Q2,SARIMA,124677.0,105145.2421875,19531.7578125,31283.2578125
Number of Prescriptions,A06,2024Q3,Historical Mean,132962.0,85229.03571428571,47732.96428571429,51199.46428571429
Number of Prescriptions,A06,2024Q3,Naive,132962.0,101634.0,31328.0,34794.5
Number of Prescriptions,A06,2024Q3,Seasonal Naive,132962.0,102185.0,30777.0,28950.75
Number of Prescriptions,A06,2024Q3,AutoARIMA,132962.0,105145.2421875,27816.7578125,31283.2578125
Number of Prescriptions,A06,2024Q3,SARIMA,132962.0,105145.2421875,27816.7578125,31283.2578125
Number of Prescriptions,A06,2024Q4,Historical Mean,114367.0,85229.03571428571,29137.96428571429,51199.46428571429
Number of Prescriptions,A06,2024Q4,Naive,114367.0,101634.0,12733.0,34794.5
Number of Prescriptions,A06,2024Q4,Seasonal Naive,114367.0,101634.0,12733.0,28950.75
Number of Prescriptions,A06,2024Q4,AutoARIMA,114367.0,105145.2421875,9221.7578125,31283.2578125
Number of Prescriptions,A06,2024Q4,SARIMA,114367.0,105145.2421875,9221.7578125,31283.2578125
Number of Prescriptions,A07,2024Q1,Historical Mean,33806.0,44960.92857142857,11154.928571428572,11004.928571428572
Number of Prescriptions,A07,2024Q1,Naive,33806.0,66901.0,33095.0,32945.0
Number of Prescriptions,A07,2024Q1,Seasonal Naive,33806.0,66326.0,32520.0,27865.25
Number of Prescriptions,A07,2024Q1,AutoARIMA,33806.0,61687.78125,27881.78125,27731.78125
Number of Prescriptions,A07,2024Q1,SARIMA,33806.0,61687.78125,27881.78125,27731.78125
Number of Prescriptions,A07,2024Q2,Historical Mean,37795.0,44960.92857142857,7165.9285714285725,11004.928571428572
Number of Prescriptions,A07,2024Q2,Naive,37795.0,66901.0,29106.0,32945.0
Number of Prescriptions,A07,2024Q2,Seasonal Naive,37795.0,60351.0,22556.0,27865.25
Number of Prescriptions,A07,2024Q2,AutoARIMA,37795.0,61687.78125,23892.78125,27731.78125
Number of Prescriptions,A07,2024Q2,SARIMA,37795.0,61687.78125,23892.78125,27731.78125
Number of Prescriptions,A07,2024Q3,Historical Mean,40717.0,44960.92857142857,4243.9285714285725,11004.928571428572
Number of Prescriptions,A07,2024Q3,Naive,40717.0,66901.0,26184.0,32945.0
Number of Prescriptions,A07,2024Q3,Seasonal Naive,40717.0,53707.0,12990.0,27865.25
Number of Prescriptions,A07,2024Q3,AutoARIMA,40717.0,61687.78125,20970.78125,27731.78125
Number of Prescriptions,A07,2024Q3,SARIMA,40717.0,61687.78125,20970.78125,27731.78125
Number of Prescriptions,A07,2024Q4,Historical Mean,23506.0,44960.92857142857,21454.928571428572,11004.928571428572
Number of Prescriptions,A07,2024Q4,Naive,23506.0,66901.0,43395.0,32945.0
Number of Prescriptions,A07,2024Q4,Seasonal Naive,23506.0,66901.0,43395.0,27865.25
Number of Prescriptions,A07,2024Q4,AutoARIMA,23506.0,61687.78125,38181.78125,27731.78125
Number of Prescriptions,A07,2024Q4,SARIMA,23506.0,61687.78125,38181.78125,27731.78125
Number of Prescriptions,A09,2024Q1,Historical Mean,2185.0,2008.4285714285713,176.57142857142867,160.28571428571433
Number of Prescriptions,A09,2024Q1,Naive,2185.0,2135.0,50.0,114.5
Number of Prescriptions,A09,2024Q1,Seasonal Naive,2185.0,2480.0,295.0,220.0
Number of Prescriptions,A09,2024Q1,AutoARIMA,2185.0,2099.644287109375,85.355712890625,116.37698364257812
Number of Prescriptions,A09,2024Q1,SARIMA,2185.0,2117.326904296875,67.673095703125,128.09286499023438
Number of Prescriptions,A09,2024Q2,Historical Mean,2182.0,2008.4285714285713,173.57142857142867,160.28571428571433
Number of Prescriptions,A09,2024Q2,Naive,2182.0,2135.0,47.0,114.5
Number of Prescriptions,A09,2024Q2,Seasonal Naive,2182.0,2291.0,109.0,220.0
Number of Prescriptions,A09,2024Q2,AutoARIMA,2182.0,2035.04052734375,146.95947265625,116.37698364257812
Number of Prescriptions,A09,2024Q2,SARIMA,2182.0,1981.5867919921875,200.4132080078125,128.09286499023438
Number of Prescriptions,A09,2024Q3,Historical Mean,2100.0,2008.4285714285713,91.57142857142867,160.28571428571433
Number of Prescriptions,A09,2024Q3,Naive,2100.0,2135.0,35.0,114.5
Number of Prescriptions,A09,2024Q3,Seasonal Naive,2100.0,2250.0,150.0,220.0
Number of Prescriptions,A09,2024Q3,AutoARIMA,2100.0,1981.177490234375,118.822509765625,116.37698364257812
Number of Prescriptions,A09,2024Q3,SARIMA,2100.0,1950.5125732421875,149.4874267578125,128.09286499023438
Number of Prescriptions,A09,2024Q4,Historical Mean,1809.0,2008.4285714285713,199.42857142857133,160.28571428571433
Number of Prescriptions,A09,2024Q4,Naive,1809.0,2135.0,326.0,114.5
Number of Prescriptions,A09,2024Q4,Seasonal Naive,1809.0,2135.0,326.0,220.0
Number of Prescriptions,A09,2024Q4,AutoARIMA,1809.0,1923.3702392578125,114.3702392578125,116.37698364257812
Number of Prescriptions,A09,2024Q4,SARIMA,1809.0,1903.7977294921875,94.7977294921875,128.09286499023438
Number of Prescriptions,A10,2024Q1,Historical Mean,195033.0,170295.5357142857,24737.46428571429,19519.982142857145
Number of Prescriptions,A10,2024Q1,Naive,195033.0,194819.0,214.0,7758.25
Number of Prescriptions,A10,2024Q1,Seasonal Naive,195033.0,223318.0,28285.0,27122.5
Number of Prescriptions,A10,2024Q1,AutoARIMA,195033.0,186450.65625,8582.34375,11442.421875
Number of Prescriptions,A10,2024Q1,SARIMA,195033.0,198430.671875,3397.671875,12106.20703125
Number of Prescriptions,A10,2024Q2,Historical Mean,199167.0,170295.5357142857,28871.46428571429,19519.982142857145
Number of Prescriptions,A10,2024Q2,Naive,199167.0,194819.0,4348.0,7758.25
Number of Prescriptions,A10,2024Q2,Seasonal Naive,199167.0,231016.0,31849.0,27122.5
Number of Prescriptions,A10,2024Q2,AutoARIMA,199167.0,186450.65625,12716.34375,11442.421875
Number of Prescriptions,A10,2024Q2,SARIMA,199167.0,209385.15625,10218.15625,12106.20703125
Number of Prescriptions,A10,2024Q3,Historical Mean,193819.0,170295.5357142857,23523.46428571429,19519.982142857145
Number of Prescriptions,A10,2024Q3,Naive,193819.0,194819.0,1000.0,7758.25
Number of Prescriptions,A10,2024Q3,Seasonal Naive,193819.0,216704.0,22885.0,27122.5
Number of Prescriptions,A10,2024Q3,AutoARIMA,193819.0,186450.65625,7368.34375,11442.421875
Number of Prescriptions,A10,2024Q3,SARIMA,193819.0,205762.65625,11943.65625,12106.20703125
Number of Prescriptions,A10,2024Q4,Historical Mean,169348.0,170295.5357142857,947.5357142857101,19519.982142857145
Number of Prescriptions,A10,2024Q4,Naive,169348.0,194819.0,25471.0,7758.25
Number of Prescriptions,A10,2024Q4,Seasonal Naive,169348.0,194819.0,25471.0,27122.5
Number of Prescriptions,A10,2024Q4,AutoARIMA,169348.0,186450.65625,17102.65625,11442.421875
Number of Prescriptions,A10,2024Q4,SARIMA,169348.0,192213.34375,22865.34375,12106.20703125
Number of Prescriptions,A11,2024Q1,Historical Mean,46067.0,33260.357142857145,12806.642857142855,11670.142857142855
Number of Prescriptions,A11,2024Q1,Naive,46067.0,43933.0,2134.0,2140.0
Number of Prescriptions,A11,2024Q1,Seasonal Naive,46067.0,39754.0,6313.0,2555.5
Number of Prescriptions,A11,2024Q1,AutoARIMA,46067.0,43933.0,2134.0,2140.0
Number of Prescriptions,A11,2024Q1,SARIMA,46067.0,46451.31640625,384.31640625,4717.08984375
Number of Prescriptions,A11,2024Q2,Historical Mean,47053.0,33260.357142857145,13792.642857142855,11670.142857142855
Number of Prescriptions,A11,2024Q2,Naive,47053.0,43933.0,3120.0,2140.0
Number of Prescriptions,A11,2024Q2,Seasonal Naive,47053.0,48046.0,993.0,2555.5
Number of Prescriptions,A11,2024Q2,AutoARIMA,47053.0,43933.0,3120.0,2140.0
Number of Prescriptions,A11,2024Q2,SARIMA,47053.0,52243.796875,5190.796875,4717.08984375
Number of Prescriptions,A11,2024Q3,Historical Mean,44954.0,33260.357142857145,11693.642857142855,11670.142857142855
Number of Prescriptions,A11,2024Q3,Naive,44954.0,43933.0,1021.0,2140.0
Number of Prescriptions,A11,2024Q3,Seasonal Naive,44954.0,45585.0,631.0,2555.5
Number of Prescriptions,A11,2024Q3,AutoARIMA,44954.0,43933.0,1021.0,2140.0
Number of Prescriptions,A11,2024Q3,SARIMA,44954.0,50524.63671875,5570.63671875,4717.08984375
Number of Prescriptions,A11,2024Q4,Historical Mean,41648.0,33260.357142857145,8387.642857142855,11670.142857142855
Number of Prescriptions,A11,2024Q4,Naive,41648.0,43933.0,2285.0,2140.0
Number of Prescriptions,A11,2024Q4,Seasonal Naive,41648.0,43933.0,2285.0,2555.5
Number of Prescriptions,A11,2024Q4,AutoARIMA,41648.0,43933.0,2285.0,2140.0
Number of Prescriptions,A11,2024Q4,SARIMA,41648.0,49370.609375,7722.609375,4717.08984375
Number of Prescriptions,A12,2024Q1,Historical Mean,15917.0,18509.0,2592.0,6335.25
Number of Prescriptions,A12,2024Q1,Naive,15917.0,33622.0,17705.0,16347.75
Number of Prescriptions,A12,2024Q1,Seasonal Naive,15917.0,36323.0,20406.0,21176.0
Number of Prescriptions,A12,2024Q1,AutoARIMA,15917.0,19305.396484375,3388.396484375,13961.509979248047
Number of Prescriptions,A12,2024Q1,SARIMA,15917.0,3424.28125,12492.71875,20008.505767822266
Number of Prescriptions,A12,2024Q2,Historical Mean,12639.0,18509.0,5870.0,6335.25
Number of Prescriptions,A12,2024Q2,Naive,12639.0,33622.0,20983.0,16347.75
Number of Prescriptions,A12,2024Q2,Seasonal Naive,12639.0,40325.0,27686.0,21176.0
Number of Prescriptions,A12,2024Q2,AutoARIMA,12639.0,6379.62255859375,6259.37744140625,13961.509979248047
Number of Prescriptions,A12,2024Q2,SARIMA,12639.0,-6870.60986328125,19509.60986328125,20008.505767822266
Number of Prescriptions,A12,2024Q3,Historical Mean,28710.0,18509.0,10201.0,6335.25
Number of Prescriptions,A12,2024Q3,Naive,28710.0,33622.0,4912.0,16347.75
Number of Prescriptions,A12,2024Q3,Seasonal Naive,28710.0,43531.0,14821.0,21176.0
Number of Prescriptions,A12,2024Q3,AutoARIMA,28710.0,-1853.4737548828125,30563.473754882812,13961.509979248047
Number of Prescriptions,A12,2024Q3,SARIMA,28710.0,-9507.9775390625,38217.9775390625,20008.505767822266
Number of Prescriptions,A12,2024Q4,Historical Mean,11831.0,18509.0,6678.0,6335.25
Number of Prescriptions,A12,2024Q4,Naive,11831.0,33622.0,21791.0,16347.75
Number of Prescriptions,A12,2024Q4,Seasonal Naive,11831.0,33622.0,21791.0,21176.0
Number of Prescriptions,A12,2024Q4,AutoARIMA,11831.0,-3803.792236328125,15634.792236328125,13961.509979248047
Number of Prescriptions,A12,2024Q4,SARIMA,11831.0,2017.2830810546875,9813.716918945312,20008.505767822266
Number of Prescriptions,A16,2024Q1,Historical Mean,1276.0,1412.0357142857142,136.03571428571422,269.0357142857142
Number of Prescriptions,A16,2024Q1,Naive,1276.0,1147.0,129.0,68.5
Number of Prescriptions,A16,2024Q1,Seasonal Naive,1276.0,1328.0,52.0,93.5
Number of Prescriptions,A16,2024Q1,AutoARIMA,1276.0,1186.2794189453125,89.7205810546875,67.76885986328125
Number of Prescriptions,A16,2024Q1,SARIMA,1276.0,1252.0,24.0,52.0
Number of Prescriptions,A16,2024Q2,Historical Mean,1091.0,1412.0357142857142,321.0357142857142,269.0357142857142
Number of Prescriptions,A16,2024Q2,Naive,1091.0,1147.0,56.0,68.5
Number of Prescriptions,A16,2024Q2,Seasonal Naive,1091.0,1306.0,215.0,93.5
Number of Prescriptions,A16,2024Q2,AutoARIMA,1091.0,1172.6988525390625,81.6988525390625,67.76885986328125
Number of Prescriptions,A16,2024Q2,SARIMA,1091.0,1230.0,139.0,52.0
Number of Prescriptions,A16,2024Q3,Historical Mean,1133.0,1412.0357142857142,279.0357142857142,269.0357142857142
Number of Prescriptions,A16,2024Q3,Naive,1133.0,1147.0,14.0,68.5
Number of Prescriptions,A16,2024Q3,Seasonal Naive,1133.0,1165.0,32.0,93.5
Number of Prescriptions,A16,2024Q3,AutoARIMA,1133.0,1159.1182861328125,26.1182861328125,67.76885986328125
Number of Prescriptions,A16,2024Q3,SARIMA,1133.0,1089.0,44.0,52.0
Number of Prescriptions,A16,2024Q4,Historical Mean,1072.0,1412.0357142857142,340.0357142857142,269.0357142857142
Number of Prescriptions,A16,2024Q4,Naive,1072.0,1147.0,75.0,68.5
Number of Prescriptions,A16,2024Q4,Seasonal Naive,1072.0,1147.0,75.0,93.5
Number of Prescriptions,A16,2024Q4,AutoARIMA,1072.0,1145.5377197265625,73.5377197265625,67.76885986328125
Number of Prescriptions,A16,2024Q4,SARIMA,1072.0,1071.0,1.0,52.0
Number of Prescriptions,B01,2024Q1,Historical Mean,56915.0,53123.71428571428,3791.2857142857174,7231.142857142859
Number of Prescriptions,B01,2024Q1,Naive,56915.0,44560.0,12355.0,14349.5
Number of Prescriptions,B01,2024Q1,Seasonal Naive,56915.0,63172.0,6257.0,9598.5
Number of Prescriptions,B01,2024Q1,AutoARIMA,56915.0,44560.0,12355.0,14349.5
Number of Prescriptions,B01,2024Q1,SARIMA,56915.0,44560.0,12355.0,14349.5
Number of Prescriptions,B01,2024Q2,Historical Mean,58046.0,53123.71428571428,4922.285714285717,7231.142857142859
Number of Prescriptions,B01,2024Q2,Naive,58046.0,44560.0,13486.0,14349.5
Number of Prescriptions,B01,2024Q2,Seasonal Naive,58046.0,52758.0,5288.0,9598.5
Number of Prescriptions,B01,2024Q2,AutoARIMA,58046.0,44560.0,13486.0,14349.5
Number of Prescriptions,B01,2024Q2,SARIMA,58046.0,44560.0,13486.0,14349.5
Number of Prescriptions,B01,2024Q3,Historical Mean,50233.0,53123.71428571428,2890.7142857142826,7231.142857142859
Number of Prescriptions,B01,2024Q3,Naive,50233.0,44560.0,5673.0,14349.5
Number of Prescriptions,B01,2024Q3,Seasonal Naive,50233.0,51198.0,965.0,9598.5
Number of Prescriptions,B01,2024Q3,AutoARIMA,50233.0,44560.0,5673.0,14349.5
Number of Prescriptions,B01,2024Q3,SARIMA,50233.0,44560.0,5673.0,14349.5
Number of Prescriptions,B01,2024Q4,Historical Mean,70444.0,53123.71428571428,17320.285714285717,7231.142857142859
Number of Prescriptions,B01,2024Q4,Naive,70444.0,44560.0,25884.0,14349.5
Number of Prescriptions,B01,2024Q4,Seasonal Naive,70444.0,44560.0,25884.0,9598.5
Number of Prescriptions,B01,2024Q4,AutoARIMA,70444.0,44560.0,25884.0,14349.5
Number of Prescriptions,B01,2024Q4,SARIMA,70444.0,44560.0,25884.0,14349.5
Number of Prescriptions,B02,2024Q1,Historical Mean,2657.0,2602.285714285714,54.71428571428578,625.25
Number of Prescriptions,B02,2024Q1,Naive,2657.0,2189.0,468.0,625.25
Number of Prescriptions,B02,2024Q1,Seasonal Naive,2657.0,3156.0,499.0,1228.75
Number of Prescriptions,B02,2024Q1,AutoARIMA,2657.0,2189.0,468.0,625.25
Number of Prescriptions,B02,2024Q1,SARIMA,2657.0,2189.0,468.0,625.25
Number of Prescriptions,B02,2024Q2,Historical Mean,2173.0,2602.285714285714,429.2857142857142,625.25
Number of Prescriptions,B02,2024Q2,Naive,2173.0,2189.0,16.0,625.25
Number of Prescriptions,B02,2024Q2,Seasonal Naive,2173.0,5757.0,3584.0,1228.75
Number of Prescriptions,B02,2024Q2,AutoARIMA,2173.0,2189.0,16.0,625.25
Number of Prescriptions,B02,2024Q2,SARIMA,2173.0,2189.0,16.0,625.25
Number of Prescriptions,B02,2024Q3,Historical Mean,3876.0,2602.285714285714,1273.7142857142858,625.25
Number of Prescriptions,B02,2024Q3,Naive,3876.0,2189.0,1687.0,625.25
Number of Prescriptions,B02,2024Q3,Seasonal Naive,3876.0,3374.0,502.0,1228.75
Number of Prescriptions,B02,2024Q3,AutoARIMA,3876.0,2189.0,1687.0,625.25
Number of Prescriptions,B02,2024Q3,SARIMA,3876.0,2189.0,1687.0,625.25
Number of Prescriptions,B02,2024Q4,Historical Mean,1859.0,2602.285714285714,743.2857142857142,625.25
Number of Prescriptions,B02,2024Q4,Naive,1859.0,2189.0,330.0,625.25
Number of Prescriptions,B02,2024Q4,Seasonal Naive,1859.0,2189.0,330.0,1228.75
Number of Prescriptions,B02,2024Q4,AutoARIMA,1859.0,2189.0,330.0,625.25
Number of Prescriptions,B02,2024Q4,SARIMA,1859.0,2189.0,330.0,625.25
Number of Prescriptions,B03,2024Q1,Historical Mean,41575.0,36798.71428571428,4776.285714285717,5727.642857142859
Number of Prescriptions,B03,2024Q1,Naive,41575.0,52566.0,10991.0,13033.5
Number of Prescriptions,B03,2024Q1,Seasonal Naive,41575.0,56921.0,15346.0,14656.5
Number of Prescriptions,B03,2024Q1,AutoARIMA,41575.0,53404.28125,11829.28125,15250.7421875
Number of Prescriptions,B03,2024Q1,SARIMA,41575.0,53404.28125,11829.28125,15250.7421875
Number of Prescriptions,B03,2024Q2,Historical Mean,39609.0,36798.71428571428,2810.2857142857174,5727.642857142859
Number of Prescriptions,B03,2024Q2,Naive,39609.0,52566.0,12957.0,13033.5
Number of Prescriptions,B03,2024Q2,Seasonal Naive,39609.0,54884.0,15275.0,14656.5
Number of Prescriptions,B03,2024Q2,AutoARIMA,39609.0,54323.58984375,14714.58984375,15250.7421875
